코드,회사명,외인지분율_최근,PBR_최근,시가총액_억,종가_최근,수급동행,지분율기준_6m,변화폭_6m,순위_6m,순매수억_외국인_6m,순매수억_기관_6m,순매수억_개인_6m,순매수억_사모_6m,주가등락pct_6m,주식수변동pct_6m,장외변동pct_6m,개인강도순위_6m,플래그_개인몰림_6m,강도pct_6m,강도순위_6m,플래그_주식수변동_6m,플래그_장외변동_6m,플래그_기관동반_6m,플래그_개인순매도_6m,지분율기준_3m,변화폭_3m,순위_3m,순매수억_외국인_3m,순매수억_기관_3m,순매수억_개인_3m,순매수억_사모_3m,주가등락pct_3m,주식수변동pct_3m,장외변동pct_3m,개인강도순위_3m,플래그_개인몰림_3m,강도pct_3m,강도순위_3m,플래그_주식수변동_3m,플래그_장외변동_3m,플래그_기관동반_3m,플래그_개인순매도_3m,지분율기준_1m,변화폭_1m,순위_1m,순매수억_외국인_1m,순매수억_기관_1m,순매수억_개인_1m,순매수억_사모_1m,주가등락pct_1m,주식수변동pct_1m,장외변동pct_1m,개인강도순위_1m,플래그_개인몰림_1m,강도pct_1m,강도순위_1m,플래그_주식수변동_1m,플래그_장외변동_1m,플래그_기관동반_1m,플래그_개인순매도_1m,지분율기준_1w,변화폭_1w,순위_1w,순매수억_외국인_1w,순매수억_기관_1w,순매수억_개인_1w,순매수억_사모_1w,주가등락pct_1w,주식수변동pct_1w,장외변동pct_1w,개인강도순위_1w,플래그_개인몰림_1w,강도pct_1w,강도순위_1w,플래그_주식수변동_1w,플래그_장외변동_1w,플래그_기관동반_1w,플래그_개인순매도_1w,강도유형
175250,아이큐어,3.400390625,3.08,815.0,2170.0,,3.400390625,0.0,987,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,3.400390625,0.0,771,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,3.380859375,0.02,855,,,,,0.0,0.0,0.02,,False,,,False,False,False,False,3.400390625,0.0,908,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,
176750,듀켐바이오,0.7001953125,3.47,1715.0,6020.0,,0.990234375,-0.29,1213,3.9,-13.2,5.4,-12.7,-34.57,0.12,-0.48,676,False,0.198,915,False,False,False,False,0.990234375,-0.29,1055,-4.1,-1.6,4.3,-0.3,-34.78,0.12,-0.16,801,False,-0.136,921,False,False,False,False,0.85986328125,-0.16,1247,1.3,0.1,-2.2,,-11.86,0.0,-0.24,,False,0.073,805,False,False,True,True,0.7099609375,-0.01,1155,0.2,-0.0,-0.3,,0.84,0.0,-0.02,,False,0.014,907,False,False,False,True,
177350,베셀,1.6103515625,0.32,135.0,681.0,,4.05859375,-2.45,1675,-7.9,4.6,4.7,-0.1,-42.82,0.91,-0.05,,False,-2.452,1689,False,False,True,False,6.53125,-4.92,1785,-10.6,4.6,5.8,,-40.42,0.91,-0.09,328,False,-4.856,1750,False,False,True,False,2.369140625,-0.76,1601,-1.8,4.6,-2.9,,7.58,0.91,0.04,,False,-0.831,1578,False,False,True,True,1.8896484375,-0.28,1652,-0.5,1.0,-0.4,,16.81,0.91,0.15,,False,-0.359,1589,False,False,True,True,
177830,파버나인,1.2998046875,0.37,268.0,2365.0,,0.85009765625,0.45,709,-0.3,4.1,-4.7,-5.7,-20.77,-16.07,0.15,,False,-0.027,1100,True,False,True,True,1.0302734375,0.27,593,0.3,0.9,-1.4,,-16.43,-16.07,-0.23,,False,0.114,673,True,False,True,True,1.2900390625,0.01,883,0.3,-0.0,-0.5,,-8.86,0.0,-0.1,,False,0.113,758,False,False,False,True,1.3095703125,-0.01,1155,0.2,0.0,-0.2,,-2.87,0.0,-0.1,,False,0.085,612,False,False,False,True,스파이크
177900,쓰리에이로직스,2.4609375,0.82,391.0,4060.0,,2.490234375,-0.03,1080,-1.9,-2.1,7.6,-0.9,-34.52,0.45,0.09,489,False,0.001,1076,False,False,False,False,1.919921875,0.54,505,-0.7,-1.0,3.7,-1.0,-38.3,0.45,0.33,717,False,0.075,692,False,False,False,False,2.2109375,0.25,609,0.0,0.0,-0.3,,-27.11,0.0,0.14,,False,0.07,811,False,False,False,True,2.140625,0.32,241,0.1,0.0,-0.1,,1.12,0.0,0.31,,False,0.014,907,False,False,False,True,
178320,서진시스템,18.3125,2.99,25015.0,39300.0,,8.046875,10.27,24,3529.4,908.9,879.8,-1123.3,43.17,13.92,-2.11,476,False,15.222,5,True,True,True,False,13.9921875,4.32,83,1936.9,-127.4,1432.3,-701.8,-21.71,7.44,-1.16,82,False,6.95,22,True,True,False,False,14.1171875,4.2,28,2017.4,-835.0,-1311.3,-313.4,-47.11,0.0,-1.73,,False,5.874,4,False,True,False,True,18.515625,-0.2,1575,-144.9,-4.3,124.6,-34.2,-5.76,0.0,0.4,95,False,-0.545,1643,False,False,False,False,지속
178780,일월지엠엘,1.08984375,1.05,441.0,2365.0,,1.2197265625,-0.13,1136,1.1,0.1,-4.0,0.1,-14.93,0.0,-0.38,,False,0.243,876,False,False,True,True,1.1904296875,-0.1,932,0.3,0.1,0.0,0.1,-10.92,0.0,-0.22,870,False,0.08,685,False,False,True,False,0.89013671875,0.2,653,0.7,0.1,0.8,0.1,7.5,0.0,-0.0,465,False,0.177,686,False,False,True,False,1.080078125,0.01,867,0.0,0.0,0.2,,-1.46,0.0,0.01,499,False,0.001,974,False,False,False,False,
179290,엠아이텍,7.0,1.24,1560.0,4820.0,,5.7890625,1.21,479,14.6,-4.7,-8.6,16.1,-31.14,0.0,0.32,,False,0.904,586,False,False,False,True,6.01953125,0.98,386,11.4,-16.1,4.2,2.8,-30.14,0.0,0.2,798,False,0.771,416,False,False,False,False,6.78125,0.22,630,5.2,3.9,-9.2,3.1,-1.33,0.0,-0.17,,False,0.383,500,False,False,True,True,6.9296875,0.07,665,2.1,4.1,-6.0,3.1,11.96,0.0,-0.08,,False,0.153,418,False,False,True,True,지속
179530,애드바이오텍,1.099609375,2.09,528.0,1959.0,,3.98046875,-2.88,1702,-7.7,-0.0,7.8,,4.76,64.73,-0.4,334,False,-1.67,1623,True,False,False,False,2.279296875,-1.18,1444,-2.0,-0.0,7.8,,-33.14,36.95,-0.46,358,False,-0.281,1016,True,False,False,False,1.7197265625,-0.62,1550,-0.6,0.0,0.7,,-12.15,36.95,-0.12,524,False,-0.088,1127,True,False,False,False,1.1298828125,-0.03,1262,0.2,0.0,-0.2,,-12.74,0.0,-0.07,,False,0.041,773,False,False,False,True,
179900,유티아이,16.09375,0.89,592.0,2990.0,,10.75,5.34,92,118.0,10.9,-147.1,28.9,-86.13,0.0,-0.67,,False,5.87,75,False,False,True,True,12.140625,3.95,97,58.0,-4.1,-72.4,-2.8,-85.41,0.0,-0.04,,False,3.805,102,False,False,False,True,11.84375,4.25,24,64.1,-9.5,-56.1,-12.9,-81.93,0.0,-0.03,,False,4.196,26,False,False,False,True,16.625,-0.53,1727,-3.1,-0.4,3.4,-0.1,-23.53,0.0,-0.13,129,False,-0.405,1604,False,False,False,False,
180400,DXVX,5.05078125,2.3,2156.0,2190.0,,10.2890625,-5.24,1765,16.7,-0.0,-13.4,0.1,-38.83,99.98,-0.52,,False,0.861,606,True,False,False,True,5.4296875,-0.38,1110,-3.6,0.0,-0.9,0.0,-56.46,0.0,-0.36,,False,-0.029,832,False,False,False,True,5.16015625,-0.11,1197,-1.9,-0.2,2.6,-0.2,-16.41,0.0,-0.05,545,False,-0.061,1085,False,False,False,False,5.0703125,-0.02,1215,0.8,-0.0,-0.2,,-8.18,0.0,-0.06,,False,0.039,781,False,False,False,True,
182360,큐브엔터,3.580078125,0.49,832.0,5350.0,,2.69921875,0.88,568,21.8,-8.2,-10.8,3.2,-59.65,0.0,-0.58,,False,1.468,435,False,False,False,True,3.310546875,0.27,593,3.8,2.8,-4.4,2.4,-50.37,0.0,-0.2,,False,0.491,508,False,False,True,True,3.689453125,-0.11,1197,-0.6,-0.2,0.9,-0.0,-21.32,0.0,-0.09,568,False,-0.03,1029,False,False,False,False,3.619140625,-0.04,1301,0.2,-0.2,0.1,,-3.95,0.0,-0.07,651,False,0.029,824,False,False,False,False,
182400,엔케이젠바이오텍코리아,0.0,37.07,2655.0,3670.0,,0.0,0.0,987,,,,,-0.41,1.35,0.0,,False,,,True,False,False,False,0.0,0.0,771,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.0,0.0,913,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,0.0,0.0,908,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,
183300,코미코,24.453125,5.27,14772.0,71900.0,,17.203125,7.25,47,1463.2,-188.8,-1255.1,-159.7,-25.18,96.41,8.73,,False,13.728,8,True,True,False,True,18.4375,6.02,37,1167.2,-1158.2,-0.9,-246.5,-52.38,96.41,9.34,,False,11.281,6,True,True,False,True,20.4375,4.02,31,624.8,-394.3,-222.6,-103.8,-33.61,0.0,0.6,,False,3.431,34,False,False,False,True,24.546875,-0.09,1427,26.9,-60.1,33.7,-0.8,-5.27,0.0,-0.29,250,False,0.197,325,False,False,False,False,지속
183490,엔지켐생명과학,2.80078125,0.54,838.0,990.0,,4.26171875,-1.46,1558,-8.0,-21.0,27.8,-1.1,-24.89,-0.5,-0.58,235,False,-0.918,1485,False,False,False,False,3.08984375,-0.29,1055,,,,,0.0,0.0,-0.29,,False,,,False,False,False,False,2.779296875,0.02,855,,,,,0.0,0.0,0.02,,False,,,False,False,False,False,2.80078125,0.0,908,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,
184230,SGA솔루션즈,0.0,1.0,355.0,1881.0,,1.5400390625,-1.54,1575,-3.9,0.3,55.6,0.1,204.86,-78.72,-7.48,72,False,-0.178,1194,True,True,True,False,1.2900390625,-1.29,1475,-6.0,0.3,38.1,0.1,106.02,-79.34,-4.87,79,False,-0.51,1168,True,True,True,False,0.0,0.0,913,-0.5,-0.1,0.3,,-8.91,0.0,0.15,535,False,-0.16,1201,False,False,False,False,0.0,0.0,908,-0.1,-0.0,0.0,,7.92,0.0,0.01,686,False,-0.014,1104,False,False,False,False,
185490,아이진,1.6396484375,1.13,645.0,1491.0,,3.220703125,-1.58,1582,-20.9,-4.9,27.3,-2.3,-6.81,0.0,0.82,183,False,-2.392,1684,False,False,False,False,3.029296875,-1.39,1496,-16.9,-0.2,17.3,-0.1,6.81,0.0,0.34,272,False,-1.735,1571,False,False,False,False,1.6396484375,0.0,913,1.8,-0.7,-0.8,-0.6,6.58,0.0,-0.24,,False,0.269,589,False,False,False,True,1.3896484375,0.25,311,2.0,-0.0,-2.0,,3.54,0.0,-0.05,,False,0.298,196,False,False,False,True,스파이크
186230,그린플러스,2.51953125,0.91,350.0,3205.0,,1.9599609375,0.56,675,3.7,1.2,-9.5,0.4,-39.98,0.0,-0.08,,False,0.736,657,False,False,True,True,2.640625,-0.12,943,-2.0,0.7,-2.2,0.4,-32.24,0.0,0.33,,False,-0.359,1075,False,False,True,True,2.759765625,-0.24,1342,-0.7,1.4,-2.0,0.5,-7.9,0.0,-0.01,,False,-0.188,1240,False,False,True,True,2.669921875,-0.15,1513,-0.2,-0.0,-0.0,-0.1,1.42,0.0,-0.09,,False,-0.06,1281,False,False,False,False,
187220,디티앤씨,2.259765625,0.28,271.0,2355.0,,2.990234375,-0.73,1378,-2.2,-0.5,0.5,-0.5,3.06,-1.48,-0.34,646,False,-0.675,1419,True,False,False,False,2.630859375,-0.37,1105,-2.2,-0.0,1.4,-0.0,-28.31,0.0,0.05,679,False,-0.627,1224,False,False,False,False,1.83984375,0.42,500,1.1,0.2,-1.1,0.2,-15.89,0.0,-0.07,,False,0.432,479,False,False,True,True,2.080078125,0.18,416,0.4,-0.0,-0.4,,0.86,0.0,0.03,,False,0.149,426,False,False,False,True,스파이크
187270,신화콘텍,2.30078125,0.37,293.0,2890.0,,2.890625,-0.59,1333,-0.5,0.2,-0.3,0.3,-21.79,0.0,-0.5,,False,-0.071,1125,False,False,True,True,3.349609375,-1.05,1399,-4.2,0.0,4.8,0.0,-24.05,0.0,0.12,395,False,-1.119,1418,False,False,False,False,2.359375,-0.06,1142,-0.1,0.0,0.1,,-13.6,0.0,-0.03,610,False,-0.031,1032,False,False,False,False,2.1796875,0.12,543,0.1,0.0,-0.1,,4.33,0.0,0.1,,False,0.024,852,False,False,False,True,스파이크
187420,HLB제넥스,0.8798828125,1.2,549.0,1682.0,,1.41015625,-0.53,1311,-1.5,-10.8,12.8,-0.8,-37.7,11.95,-0.15,347,False,-0.3,1261,True,False,False,False,1.6298828125,-0.75,1283,-6.0,-5.0,12.1,,-47.02,11.07,0.14,338,False,-0.859,1327,True,False,False,False,1.0498046875,-0.17,1267,-3.3,-1.7,5.2,,-24.57,0.28,0.2,267,False,-0.372,1379,False,False,False,False,1.009765625,-0.13,1489,-2.5,0.0,2.4,,-11.84,0.1,0.15,209,False,-0.279,1547,False,False,False,False,
187660,페니트리움바이오,5.0,10.77,2282.0,4115.0,,0.1500244140625,4.85,111,4.1,-2.2,44.9,-0.1,73.63,0.0,-0.2,,False,5.081,106,False,False,False,False,1.419921875,3.58,117,179.7,2.1,-191.1,,-73.0,0.0,-0.95,,False,4.526,73,False,False,True,True,5.140625,-0.14,1232,9.0,0.0,-9.1,,-38.4,0.0,-0.44,,False,0.296,569,False,False,False,True,6.51953125,-1.52,1796,-47.2,0.0,47.1,,-12.07,0.0,0.12,20,True,-1.634,1717,False,False,False,False,
187790,나노,4.91015625,2.06,887.0,2875.0,,3.9296875,0.98,543,-10.3,139.8,-137.4,14.1,-12.21,0.0,0.4,,False,0.528,739,False,False,True,True,3.55078125,1.36,317,-1.7,100.3,-99.1,22.7,-20.14,0.0,0.31,,False,1.011,378,False,False,True,True,3.419921875,1.49,142,20.5,-23.9,2.6,3.7,-41.03,0.0,-0.38,642,False,1.849,102,False,False,False,False,4.51171875,0.4,171,1.2,-3.0,1.1,-0.1,-6.81,0.0,0.28,352,False,0.118,512,False,False,False,False,
187870,디바이스,6.78125,1.09,1838.0,13350.0,,2.80078125,3.98,154,29.6,434.0,-435.3,82.7,-7.8,95.69,2.3,,False,5.715,78,True,True,True,True,4.2890625,2.49,192,0.9,420.5,-365.6,67.7,-58.08,95.69,2.64,,False,3.62,115,True,True,True,True,2.150390625,4.63,16,108.5,-100.4,-15.6,-41.2,-41.7,0.0,-0.21,,False,4.708,17,False,False,False,True,6.421875,0.36,206,3.9,-9.6,5.8,-0.1,1.83,0.0,0.11,174,False,0.236,270,False,False,False,False,
188040,바이오포트,3.720703125,0.6,245.0,5230.0,,2.69921875,1.02,531,2.4,-11.8,-1.0,-0.4,-29.8,0.0,-0.09,,False,0.838,614,False,False,False,True,4.83984375,-1.12,1427,-4.0,-0.9,-5.6,-0.1,-13.12,0.0,-0.11,,False,-1.314,1468,False,False,False,True,4.26171875,-0.54,1522,-1.8,-0.4,-5.4,-0.0,-2.06,0.0,0.17,,False,-0.751,1556,False,False,False,True,4.01953125,-0.3,1664,-0.3,-0.2,0.4,,0.77,0.0,-0.17,320,False,-0.127,1410,False,False,False,False,
188260,세니젠,0.47998046875,6.17,286.0,2155.0,,2.060546875,-1.58,1582,-2.3,-0.9,9.9,,12.47,83.49,-0.06,82,False,-1.27,1561,True,False,False,False,4.44921875,-3.97,1762,-5.1,-0.0,5.5,,-2.27,83.49,-0.02,90,False,-3.646,1723,True,False,False,False,0.56005859375,-0.08,1161,-0.1,-0.0,0.2,,31.88,0.0,-0.02,570,False,-0.053,1070,False,False,False,False,0.469970703125,0.01,867,-0.0,0.0,0.1,,2.38,0.0,0.04,573,False,-0.016,1116,False,False,False,False,
189300,인텔리안테크,25.5625,2.41,6754.0,62900.0,,16.71875,8.84,32,1257.8,135.2,-1330.9,-64.4,-8.04,0.04,-1.12,,False,10.011,17,False,True,True,True,20.625,4.94,60,594.6,-675.5,70.5,-118.1,-53.41,0.0,-0.52,,False,5.51,41,False,False,False,False,23.046875,2.52,67,207.4,-16.5,-184.4,26.7,-37.35,0.0,0.22,,False,2.321,73,False,False,False,True,25.71875,-0.16,1524,0.4,3.6,-6.5,-1.6,-5.98,0.0,-0.19,,False,0.038,787,False,False,True,True,
189330,씨이랩,1.900390625,3.3,830.0,8850.0,,2.80078125,-0.9,1432,-22.3,-16.6,36.2,-9.3,103.92,0.0,-0.2,231,False,-0.638,1407,False,False,False,False,5.390625,-3.49,1747,-32.9,-10.9,41.5,-7.4,60.33,0.0,-0.14,86,False,-3.204,1706,False,False,False,False,4.421875,-2.52,1779,-28.2,-3.5,31.5,0.3,4.36,0.0,0.37,28,False,-2.824,1732,False,False,False,False,2.0703125,-0.17,1542,1.9,0.3,-2.3,0.3,-32.6,0.0,-0.43,,False,0.248,254,False,False,True,True,
189690,포시에스,1.5703125,0.57,445.0,1628.0,,1.98046875,-0.41,1267,-3.8,0.2,0.7,0.2,-21.16,0.0,0.14,,False,-0.562,1378,False,False,True,False,2.109375,-0.54,1179,-2.1,0.2,1.8,0.2,-23.75,0.0,-0.25,752,False,-0.289,1024,False,False,True,False,1.3203125,0.25,609,0.9,0.1,-1.0,0.1,-6.44,0.0,0.02,,False,0.236,621,False,False,True,True,1.240234375,0.33,233,0.9,-0.0,-0.9,,-0.73,0.0,0.12,,False,0.207,308,False,False,False,True,스파이크
189860,서전기전,2.689453125,1.02,390.0,4025.0,,4.44921875,-1.76,1604,-22.6,0.0,22.9,-1.8,2.68,0.0,-0.58,333,False,-1.109,1532,False,False,False,False,4.37890625,-1.69,1568,-18.3,0.2,16.0,-1.6,-30.84,0.0,0.11,325,False,-1.778,1578,False,False,True,False,5.6015625,-2.91,1792,-16.0,0.1,16.2,,-20.45,0.0,0.04,29,False,-2.837,1733,False,False,True,False,3.05078125,-0.36,1690,-1.3,0.0,1.2,,5.5,0.0,-0.06,194,False,-0.308,1563,False,False,False,False,
189980,흥국에프엔비,3.23046875,0.46,460.0,1146.0,,1.0302734375,2.2,309,12.8,-1.1,14.3,0.3,-26.4,0.0,0.15,341,False,2.013,340,False,False,False,False,4.3203125,-1.09,1411,-8.1,-0.3,7.5,,-30.67,0.0,0.11,437,False,-1.22,1447,False,False,False,False,3.01953125,0.21,643,0.7,-0.3,-0.5,,-4.5,0.0,0.02,,False,0.173,694,False,False,False,True,3.119140625,0.11,568,0.4,-0.0,-0.4,,2.23,0.0,0.01,,False,0.1,563,False,False,False,True,
190510,나무가,7.1015625,1.07,1837.0,13040.0,,10.828125,-3.73,1728,-86.3,5.5,82.3,-3.2,-51.52,0.28,-1.11,274,False,-2.591,1696,False,True,True,False,8.9609375,-1.86,1601,-49.4,11.0,37.6,0.5,-32.08,0.0,-0.13,448,False,-1.713,1564,False,False,True,False,6.76171875,0.34,545,2.6,10.8,-13.5,0.4,-19.31,0.0,0.21,,False,0.135,736,False,False,True,True,7.19140625,-0.09,1427,-5.1,10.7,-5.5,0.4,7.33,0.0,0.2,,False,-0.291,1554,False,False,True,True,
190650,코리아에셋투자증권,1.41015625,0.44,425.0,6650.0,,1.3095703125,0.1,889,-0.5,-1.9,3.9,-0.4,-7.12,0.0,0.22,587,False,0.04,1020,False,False,False,False,2.720703125,-1.31,1481,-5.1,-0.2,3.7,,-22.13,0.0,-0.3,568,False,-1.007,1383,False,False,False,False,1.76953125,-0.36,1422,-1.7,-0.2,0.4,,-12.84,0.0,0.02,530,False,-0.375,1383,False,False,False,False,1.4404296875,-0.03,1262,-0.1,0.0,0.1,,0.76,0.0,-0.0,565,False,-0.028,1184,False,False,False,False,
191410,육일씨엔에쓰,5.73046875,0.89,188.0,1677.0,,0.68017578125,5.05,105,5.4,0.2,-10.7,,-36.48,0.0,0.62,,False,4.086,155,False,False,True,True,2.41015625,3.32,132,6.5,0.1,-15.9,,-39.68,0.0,-0.41,,False,3.423,120,False,False,True,True,5.76171875,-0.03,1107,-1.3,-0.0,-6.4,,28.7,0.0,0.24,,False,-0.459,1430,False,False,False,True,6.37890625,-0.65,1746,-1.6,-0.0,-5.8,,39.75,0.0,0.16,,False,-0.806,1685,False,False,False,True,
191420,테고사이언스,2.150390625,1.02,523.0,6450.0,,1.349609375,0.8,592,5.4,-2.0,-15.4,-1.7,-55.21,0.0,-0.19,,False,0.836,615,False,False,False,True,1.580078125,0.57,490,3.7,-2.5,-2.3,-1.4,-52.22,0.0,-0.19,,False,0.651,455,False,False,False,True,2.380859375,-0.23,1334,-1.2,-2.4,3.6,-1.4,-18.25,0.0,-0.03,258,False,-0.199,1247,False,False,False,False,2.279296875,-0.13,1489,-1.1,-0.2,1.3,,-3.44,0.0,0.08,237,False,-0.205,1507,False,False,False,False,
192250,케이사인,4.53125,0.54,504.0,7130.0,,2.580078125,1.95,341,13.9,35.2,-55.0,4.4,-24.47,0.0,-0.25,,False,2.22,312,False,False,True,True,2.41015625,2.12,225,8.2,6.4,-15.8,3.9,-55.1,0.0,0.56,,False,1.595,272,False,False,True,True,4.078125,0.45,481,2.7,0.1,-2.9,0.1,-14.71,0.0,-0.08,,False,0.554,409,False,False,True,True,4.5,0.03,799,0.7,-0.0,-0.7,,0.28,0.0,-0.11,,False,0.143,446,False,False,False,True,지속
192390,윈하이텍,1.7001953125,0.28,205.0,1860.0,,1.4296875,0.27,791,0.2,2.3,-4.4,-0.2,-15.26,0.0,-0.26,,False,0.217,896,False,False,True,True,1.8603515625,-0.16,971,-0.5,3.5,-4.8,,-9.71,0.0,-0.35,,False,-0.101,893,False,False,True,True,1.9697265625,-0.27,1364,-0.6,2.0,-3.1,,-1.06,0.0,-0.16,,False,-0.228,1276,False,False,True,True,1.900390625,-0.2,1575,-0.6,0.5,-0.1,,-1.22,0.0,0.08,,False,-0.285,1551,False,False,True,True,
192410,오늘이엔엠,0.52001953125,26.95,923.0,3665.0,,0.5498046875,-0.03,1080,-17.6,-9.6,53.9,-9.5,293.66,-46.02,-1.56,163,False,0.409,790,True,True,False,False,0.81005859375,-0.29,1055,-8.9,0.0,47.2,,-51.9,7.95,-0.45,91,False,-0.044,844,True,False,False,False,1.01953125,-0.5,1494,-6.4,0.0,14.4,,-21.52,0.0,-0.05,96,False,-0.541,1469,False,False,False,False,0.56005859375,-0.04,1301,-0.9,-0.0,1.8,,16.91,0.0,0.05,265,False,-0.086,1342,False,False,False,False,
192440,슈피겐코리아,10.34375,0.32,1825.0,29350.0,,9.2578125,1.09,515,22.1,-4.5,-73.1,4.9,31.91,0.0,-0.28,,False,1.32,468,False,False,False,True,9.7890625,0.55,500,11.5,-2.0,-44.9,4.9,6.73,0.0,-0.09,,False,0.608,471,False,False,False,True,10.3671875,-0.02,1086,-0.8,0.0,-2.4,0.4,-4.4,0.0,0.02,,False,-0.044,1055,False,False,False,True,10.359375,-0.02,1215,-0.2,0.1,-0.7,0.1,4.08,0.0,-0.01,,False,-0.008,1078,False,False,True,True,
193250,링크드,1.0703125,0.39,238.0,1780.0,,1.919921875,-0.85,1420,-3.6,-0.0,2.3,,386.34,-79.3,-9.42,,False,-0.105,1143,True,True,False,False,2.169921875,-1.1,1417,-3.0,-0.0,2.2,,379.78,-80.0,-7.66,693,False,-0.496,1162,True,True,False,False,1.0302734375,0.04,825,0.1,-0.0,-0.6,,27.23,0.0,-0.11,,False,0.157,711,False,False,False,True,1.26953125,-0.2,1575,-0.4,-0.0,-0.2,,36.71,0.0,-0.09,,False,-0.108,1376,False,False,False,True,
194480,데브시스터즈,1.919921875,1.04,1908.0,15730.0,,10.6015625,-8.68,1784,-403.5,-25.1,425.6,-94.9,-51.15,0.0,0.92,27,False,-9.628,1780,False,False,False,False,2.869140625,-0.95,1366,-25.3,-14.7,45.3,-0.1,-32.92,0.0,-0.01,306,False,-0.945,1362,False,False,False,False,3.720703125,-1.8,1743,-25.6,8.7,17.2,0.3,3.08,0.0,-0.5,190,False,-1.288,1648,False,False,True,False,2.169921875,-0.25,1628,-1.6,-0.2,1.7,0.0,-9.44,0.0,-0.17,401,False,-0.083,1330,False,False,False,False,
194700,노바렉스,9.8984375,0.94,2459.0,13470.0,,14.09375,-4.2,1743,-88.2,-13.5,85.0,-19.2,-3.79,-2.67,-1.44,169,False,-3.105,1717,True,True,False,False,11.4375,-1.54,1527,-38.6,32.2,3.5,-14.2,-5.8,-2.67,-0.54,648,False,-1.304,1465,True,False,True,False,10.1875,-0.29,1379,1.1,-16.7,18.2,-13.4,-3.65,0.0,-0.31,211,False,0.071,807,False,False,False,False,10.078125,-0.18,1552,4.3,-12.2,8.2,-5.9,2.28,0.0,-0.34,182,False,0.17,372,False,False,False,False,
195500,마니커에프앤지,2.529296875,0.33,261.0,1631.0,,2.48046875,0.05,929,0.4,-0.5,-0.5,,-41.23,0.0,-0.3,,False,0.215,898,False,False,False,True,3.08984375,-0.56,1187,-4.4,-0.4,4.4,,-41.85,0.0,0.22,494,False,-0.909,1347,False,False,False,False,1.8203125,0.71,337,1.3,-0.4,-1.2,,-12.78,0.0,0.12,,False,0.479,452,False,False,False,True,2.5,0.03,799,0.1,0.0,-0.1,,4.82,0.0,-0.0,,False,0.028,830,False,False,False,True,스파이크
195940,HK이노엔,13.8671875,0.83,10992.0,38800.0,,9.34375,4.52,125,737.7,82.7,-816.7,-87.3,-15.01,0.0,-0.33,,False,4.867,113,False,False,True,True,13.78125,0.09,669,13.4,-190.2,165.1,11.6,-26.65,0.0,0.01,389,False,0.076,689,False,False,False,False,14.1796875,-0.31,1386,-39.5,76.9,-34.9,2.5,-8.17,0.0,0.02,,False,-0.328,1353,False,False,True,True,13.8828125,-0.02,1215,-0.8,-3.0,3.6,-2.8,-1.15,0.0,-0.01,534,False,-0.009,1082,False,False,False,False,
195990,루트K,2.25,0.33,205.0,630.0,,6.05078125,-3.8,1730,-9.6,-0.0,9.8,,233.33,-88.56,-48.56,647,False,-0.156,1174,True,True,False,False,3.259765625,-1.01,1385,-4.6,0.0,4.0,,-55.19,0.0,-0.03,525,False,-0.957,1370,False,False,False,False,2.23046875,0.02,855,-0.5,0.0,-0.1,,-33.75,0.0,0.02,,False,-0.02,1001,False,False,False,True,2.25,0.0,908,,,,,0.0,0.0,0.0,,False,,,False,False,False,False,
196170,알테오젠,14.1015625,33.49,148166.0,276500.0,,13.8828125,0.22,818,1046.9,4807.8,-5626.9,822.7,-41.23,0.15,-0.25,,False,0.486,756,False,False,True,True,14.15625,-0.05,899,345.8,2139.4,-2295.1,907.0,-25.17,0.1,-0.19,,False,0.145,656,False,False,True,True,14.5625,-0.46,1476,-751.8,1623.0,-825.3,285.0,-21.56,0.0,-0.08,,False,-0.386,1391,False,False,True,True,14.0625,0.04,763,31.8,-631.5,532.9,-61.5,-7.83,0.0,0.02,153,False,0.018,882,False,False,False,False,
196300,HLB펩,1.259765625,1.49,388.0,4135.0,,1.75,-0.49,1297,-2.4,-0.0,-0.3,,-50.95,0.89,-0.04,699,False,-0.469,1337,False,False,False,True,2.0,-0.74,1277,-3.5,0.0,3.6,,-43.89,0.89,-0.1,579,False,-0.65,1234,False,False,False,False,1.740234375,-0.48,1485,-2.2,0.0,2.1,,-16.8,0.0,-0.01,319,False,-0.488,1437,False,False,False,False,1.6904296875,-0.43,1705,-1.7,0.0,1.8,,-11.65,0.0,-0.06,144,False,-0.369,1592,False,False,False,False,
196450,코아시아씨엠,1.490234375,0.64,379.0,837.0,,1.7001953125,-0.21,1179,2.7,1.5,-4.6,2.2,5.95,0.0,-0.14,,False,-0.128,1158,False,False,True,True,2.830078125,-1.34,1487,-6.1,-1.9,7.6,1.2,-37.16,0.0,0.1,293,False,-1.499,1507,False,False,False,False,2.369140625,-0.88,1635,-3.4,0.4,2.8,0.4,-12.99,0.0,-0.02,229,False,-0.91,1591,False,False,True,False,1.509765625,-0.02,1215,0.0,-0.0,-0.0,,-6.9,0.0,-0.03,,False,0.009,931,False,False,False,False,
