코드,회사명,외인지분율_최근,PBR_최근,시가총액_억,종가_최근,수급동행,지분율기준_6m,변화폭_6m,순위_6m,순매수억_외국인_6m,순매수억_기관_6m,순매수억_개인_6m,순매수억_사모_6m,주가등락pct_6m,주식수변동pct_6m,장외변동pct_6m,개인강도순위_6m,플래그_개인몰림_6m,강도pct_6m,강도순위_6m,플래그_주식수변동_6m,플래그_장외변동_6m,플래그_기관동반_6m,플래그_개인순매도_6m,지분율기준_3m,변화폭_3m,순위_3m,순매수억_외국인_3m,순매수억_기관_3m,순매수억_개인_3m,순매수억_사모_3m,주가등락pct_3m,주식수변동pct_3m,장외변동pct_3m,개인강도순위_3m,플래그_개인몰림_3m,강도pct_3m,강도순위_3m,플래그_주식수변동_3m,플래그_장외변동_3m,플래그_기관동반_3m,플래그_개인순매도_3m,지분율기준_1m,변화폭_1m,순위_1m,순매수억_외국인_1m,순매수억_기관_1m,순매수억_개인_1m,순매수억_사모_1m,주가등락pct_1m,주식수변동pct_1m,장외변동pct_1m,개인강도순위_1m,플래그_개인몰림_1m,강도pct_1m,강도순위_1m,플래그_주식수변동_1m,플래그_장외변동_1m,플래그_기관동반_1m,플래그_개인순매도_1m,지분율기준_1w,변화폭_1w,순위_1w,순매수억_외국인_1w,순매수억_기관_1w,순매수억_개인_1w,순매수억_사모_1w,주가등락pct_1w,주식수변동pct_1w,장외변동pct_1w,개인강도순위_1w,플래그_개인몰림_1w,강도pct_1w,강도순위_1w,플래그_주식수변동_1w,플래그_장외변동_1w,플래그_기관동반_1w,플래그_개인순매도_1w,강도유형
003310,대주산업,12.2578125,0.54,602.0,1700.0,,2.029296875,10.23,25,62.6,-0.2,-67.2,-0.1,-48.56,0.0,0.34,,False,9.865,19,False,False,False,True,1.48046875,10.78,16,95.3,-0.0,-101.0,0.0,-55.67,0.0,0.51,,False,10.358,10,False,False,False,True,11.640625,0.62,374,0.6,0.0,-1.4,,-9.28,0.0,0.56,,False,0.176,690,False,False,False,True,12.71875,-0.46,1715,-6.5,-0.0,6.6,,9.68,0.0,0.58,43,False,-1.044,1699,False,False,False,False,
003380,하림지주,9.2890625,0.3,10932.0,9760.0,,7.109375,2.18,314,433.4,-340.7,-99.2,-185.5,-12.07,0.0,-0.78,,False,2.945,246,False,False,False,True,8.4375,0.85,409,142.6,17.9,-240.3,16.9,-27.76,0.0,-0.28,,False,1.137,345,False,False,True,True,9.34375,-0.05,1133,5.2,78.7,-86.3,14.2,-12.15,0.0,-0.14,,False,0.08,799,False,False,True,True,9.5234375,-0.23,1610,-18.5,10.4,16.7,3.2,0.83,0.0,-0.08,331,False,-0.158,1452,False,False,True,False,
0037T0,KB제32호스팩,0.60986328125,0.0,127.0,1999.0,,0.60986328125,0.0,987,0.0,4.3,-5.5,2.4,-0.3,0.0,-0.05,,False,0.001,1076,False,False,True,True,0.60986328125,0.0,771,0.0,0.1,-0.2,-0.3,-0.79,0.0,-0.06,,False,0.0,803,False,False,True,True,0.60986328125,0.0,913,-0.0,-0.9,0.8,-1.6,-0.05,0.0,-0.06,264,False,-0.0,948,False,False,False,False,0.6201171875,-0.01,1155,-0.0,-1.1,1.0,-1.1,0.05,0.0,-0.07,61,False,-0.002,1027,False,False,False,False,
003800,에이스침대,1.8701171875,0.45,3571.0,32200.0,,1.76953125,0.1,889,-1.5,-0.0,14.1,0.1,3.7,0.0,0.13,603,False,-0.025,1099,False,False,False,False,1.91015625,-0.04,893,-3.5,-3.8,4.1,-3.8,-6.26,0.0,0.05,824,False,-0.091,878,False,False,False,False,1.76953125,0.1,747,1.6,-0.0,-2.5,-0.0,-1.23,0.0,0.05,,False,0.046,845,False,False,False,True,1.759765625,0.11,568,1.1,-0.0,-1.4,-0.0,1.58,0.0,0.08,,False,0.031,815,False,False,False,True,스파이크
0039P0,매드업,1.5703125,2.45,950.0,5050.0,,,,,-0.5,-54.5,405.4,-23.1,,,,,False,,,False,False,False,False,,,,-0.5,-54.5,405.4,-23.1,,,,,False,,,False,False,False,False,,,,-0.5,-54.5,405.4,-23.1,,,,,False,,,False,False,False,False,1.48046875,0.09,613,2.2,-14.0,9.3,-10.0,-38.64,0.32,0.01,38,False,-0.005,1058,False,False,False,False,
0041B0,교보18호스팩,0.0,0.0,102.0,2015.0,,0.0,0.0,987,0.0,0.2,-1.1,-1.2,-2.42,0.0,-0.02,,False,0.028,1044,False,False,True,True,0.0,0.0,771,0.0,-0.3,-0.0,-1.9,-2.42,0.0,-0.02,850,False,0.025,751,False,False,False,False,0.0,0.0,913,0.0,1.2,-1.2,0.3,-1.95,0.0,-0.0,,False,0.0,948,False,False,True,True,0.0,0.0,908,-0.0,-0.2,0.2,-0.2,-0.74,0.0,0.0,315,False,-0.0,986,False,False,False,False,
0041J0,엘에스스팩1호,0.0,0.0,82.0,1993.0,,0.0,0.0,987,0.0,4.1,-4.5,1.9,-0.6,0.0,0.04,,False,0.03,1040,False,False,True,True,0.0,0.0,771,-0.0,0.9,-0.9,0.4,-0.85,0.0,0.06,,False,-0.006,819,False,False,True,True,0.0,0.0,913,0.0,-0.1,0.1,-0.3,-0.35,0.0,0.02,476,False,0.001,942,False,False,False,False,0.0,0.0,908,0.0,-0.2,0.2,-0.2,0.15,0.0,0.02,249,False,0.001,974,False,False,False,False,
0041L0,하나35호스팩,0.509765625,0.0,121.0,2005.0,,0.489990234375,0.02,963,0.0,1.0,-1.6,-0.5,0.0,0.0,0.02,,False,0.018,1058,False,False,True,True,0.5,0.01,753,0.0,-0.9,0.9,-1.4,-0.5,0.0,0.0,535,False,0.013,775,False,False,False,False,0.509765625,0.0,913,-0.0,1.0,-0.9,0.0,-0.5,0.0,0.01,,False,-0.008,976,False,False,True,True,0.5400390625,-0.03,1262,-0.0,-0.1,0.2,-0.1,-0.99,0.0,-0.01,321,False,-0.023,1158,False,False,False,False,
0044K0,삼성스팩10호,0.580078125,0.0,150.0,1989.0,,0.64990234375,-0.07,1110,-0.1,-4.6,0.7,-5.2,-1.29,0.0,0.01,557,False,-0.07,1123,False,False,False,False,0.5498046875,0.03,721,0.0,-7.3,6.8,-6.8,-3.68,0.0,-0.0,65,False,0.032,732,False,False,False,False,0.6298828125,-0.05,1133,-0.1,-2.7,2.7,-2.0,-0.55,0.0,0.0,72,False,-0.052,1067,False,False,False,False,0.58984375,-0.01,1155,-0.0,-0.3,0.3,-0.3,-0.55,0.0,-0.0,299,False,-0.009,1082,False,False,False,False,
004590,한국가구,4.5,0.4,786.0,5240.0,,3.75,0.75,608,5.6,0.6,-6.7,0.3,-0.38,0.0,0.25,,False,0.481,762,False,False,True,True,3.890625,0.61,476,5.3,4.9,-11.2,4.3,0.77,0.0,0.16,,False,0.437,529,False,False,True,True,5.19921875,-0.7,1583,-2.8,0.1,3.1,0.2,-16.29,0.0,-0.31,350,False,-0.361,1369,False,False,True,False,4.44921875,0.05,725,0.2,0.1,-0.4,0.1,-0.76,0.0,0.02,,False,0.027,837,False,False,True,True,
