# F1 스트레스 테스트 — 성과를 깎는 방향만 허용 (상향 튜닝 금지)
# ①만기누락=-100% ②시총 하위 20% 제외(거래대금 미보유로 프록시) ③왕복 1.0%
# 랜덤 벤치마크는 만기누락 제외 방식 유지 → 전략에만 불리한 보수적 비교
시장,전략,진입월,종목수,만기누락,수익률,수익률_최악,시장프록시,랜덤평균,기본,①최악가정,③비용1%,④최악조합
KOSDAQ,F1L,2018-07,20,0,0.03044627016606275,0.03044627016606275,-0.0817446536945214,-0.060743654974761536,0.09118992514082429,0.09118992514082429,0.08118992514082429,0.08118992514082429
KOSDAQ,F1,2018-08,20,1,0.0008408917756587785,-0.04920115281312416,-0.11246670073071757,-0.09856644464372949,0.09940733641938827,0.049365291830605326,0.08940733641938826,0.039365291830605324
KOSDAQ,F1L,2018-08,20,0,0.02830175178000634,0.02830175178000634,-0.11246670073071757,-0.09856644464372949,0.12686819642373584,0.12686819642373584,0.11686819642373583,0.11686819642373583
KOSDAQ,F1,2018-09,20,6,-0.03812575846565708,-0.32668803092596,-0.13123496808648155,-0.07056538251986737,0.03243962405421029,-0.2561226484060926,0.022439624054210287,-0.2661226484060926
KOSDAQ,F1L,2018-09,20,0,0.050804668288510914,0.050804668288510914,-0.13123496808648155,-0.07056538251986737,0.12137005080837829,0.12137005080837829,0.11137005080837828,0.11137005080837828
KOSDAQ,F1,2018-10,20,0,0.8662819208032971,0.8662819208032971,0.13979507757465565,0.29596756000028007,0.570314360803017,0.570314360803017,0.560314360803017,0.560314360803017
KOSDAQ,F1L,2018-10,20,0,0.33216986734321025,0.33216986734321025,0.13979507757465565,0.29596756000028007,0.03620230734293017,0.03620230734293017,0.026202307342930165,0.026202307342930165
KOSDAQ,F1,2018-11,20,1,0.6444056342567542,0.5621853525439164,-0.015977838607362762,0.10725568196309214,0.5371499522936621,0.4549296705808243,0.5271499522936621,0.4449296705808243
KOSDAQ,F1L,2018-11,20,0,0.09143596144611654,0.09143596144611654,-0.015977838607362762,0.10725568196309214,-0.015819720516975597,-0.015819720516975597,-0.02581972051697559,-0.02581972051697559
KOSDAQ,F1,2018-12,20,1,0.7984699376277578,0.7085464407463699,0.01532715994583959,0.20377744270939455,0.5946924949183632,0.5047689980369753,0.5846924949183632,0.49476899803697527
KOSDAQ,F1L,2018-12,20,0,0.1519261971597093,0.1519261971597093,0.01532715994583959,0.20377744270939455,-0.05185124554968526,-0.05185124554968526,-0.06185124554968527,-0.06185124554968527
KOSDAQ,F1,2019-01,20,1,0.0034154696240612046,-0.046755303857141856,-0.1266224618883438,-0.007481340423942934,0.010896810048004139,-0.03927396343319892,0.0008968100480041385,-0.049273963433198925
KOSDAQ,F1L,2019-01,20,0,-0.060621740373113964,-0.060621740373113964,-0.1266224618883438,-0.007481340423942934,-0.05314039994917103,-0.05314039994917103,-0.06314039994917102,-0.06314039994917102
KOSDAQ,F1,2019-02,20,1,0.05336372145729108,0.0006955353844265266,-0.15195070345942394,-0.015316836837643679,0.06868055829493476,0.016012372222070206,0.05868055829493476,0.0060123722220702044
KOSDAQ,F1L,2019-02,20,0,0.0016502680899923906,0.0016502680899923906,-0.15195070345942394,-0.015316836837643679,0.01696710492763607,0.01696710492763607,0.006967104927636069,0.006967104927636069
