# 사전 예상: 종가→종가 약한 양(+) 가능 / 시가→종가 ≈ 0 (갭 선취) / 비용후 전 조합 음수
# 판정 기준(고정): 초반 양수→0 수렴 = 단명 신호 / 전 구간 0 근처 = 신호 없음 / 며칠 뒤 증가 = 해석 금지, 우연 의심
# 한계: 표본 ~240거래일이지만 기간 1년(단일 장세) — 월 검증과 표본 성격이 다름
시장,신호일,진입일,종목수,cc1,oc1,r1,rand1,r2,rand2,r3,rand3,r5,rand5,r10,rand10,ex1,ex2,ex3,ex5,ex10
KOSPI,2026-02-13,2026-02-19,20,0.10247144839380702,0.061774623437659756,0.061774623437659756,0.010478172762837691,0.07680577262764529,0.023350396330043516,0.08318648712940524,0.03360624219659893,0.10030823567500632,0.04410115933859941,-0.03563622613882187,-0.04994584196724026,0.05129645067482207,0.053455376297601775,0.04958024493280631,0.05620707633640691,0.014309615828418387
KOSPI,2026-02-19,2026-02-20,20,0.012624397763481765,0.00557202196422753,0.00557202196422753,0.006732093951435886,0.045362071421010626,0.020209415178159076,0.06674412449208167,0.01872498237791018,0.04841099085055024,0.01748644291019983,-0.008986423345252903,-0.057152639489548226,-0.0011600719872083562,0.02515265624285155,0.04801914211417149,0.030924547940350412,0.048166216144295323
KOSPI,2026-02-20,2026-02-23,20,0.01996364430728035,-0.0031042486168924967,-0.0031042486168924967,0.00015818062335144705,0.001386124106751152,0.004659394336715372,-0.0034431964461071494,0.012357084954838839,-0.02277188187111759,-0.007729001747427344,-0.10334626468215147,-0.10731841468903214,-0.003262429240243944,-0.0032732702299642195,-0.015800281400945988,-0.015042880123690244,0.00397215000688067
KOSPI,2026-02-23,2026-02-24,20,0.031267849914676175,0.028020100118738882,0.028020100118738882,0.004377685215745558,0.005825274889245074,0.010089967795218655,0.0018923109398119088,-0.0006419498232316105,-0.07501330438636618,-0.04658141741653945,-0.07944289178894226,-0.0878201079787218,0.023642414902993326,-0.0042646929059735805,0.0025342607630435194,-0.02843188696982673,0.008377216189779546
KOSPI,2026-02-24,2026-02-25,20,-0.00817589428088969,-0.024752690158537226,-0.024752690158537226,-0.00020978735575113823,-0.03035320958687283,-0.01047529622475553,-0.030619500843915803,-0.0192943970932944,-0.21958564140188458,-0.1474303695452293,-0.11507645242374706,-0.08154624047482581,-0.024542902802786086,-0.0198779133621173,-0.011325103750621401,-0.07215527185665527,-0.03353021194892125
KOSPI,2026-02-25,2026-02-26,20,-0.019858276008405683,-0.02451601404122054,-0.02451601404122054,-0.012924480490901152,-0.016101124158383752,-0.01893041853365973,-0.08460356597440599,-0.05803893345974221,-0.1358407291706226,-0.09006131026921248,-0.10803989595851049,-0.08157459281444542,-0.011591533550319388,0.0028292943752759765,-0.02656463251466378,-0.045779418901410115,-0.026465303144065075
KOSPI,2026-02-26,2026-02-27,20,-0.040474546778492965,-0.011633412277417276,-0.011633412277417276,-0.0063767758050718125,-0.0762981301689036,-0.04113665373462693,-0.19622523336703623,-0.13274224748305513,-0.08571073591219883,-0.06925640453342423,-0.09267632167250896,-0.06925793591515338,-0.005256636472345463,-0.035161476434276674,-0.0634829858839811,-0.016454331378774598,-0.02341838575735558
KOSPI,2026-02-27,2026-03-03,20,-0.05032438499158899,-0.0630886111110657,-0.0630886111110657,-0.026225111913696298,-0.18288476551272925,-0.12469585313041837,-0.09205344011308148,-0.062264308909783884,-0.13831658088246526,-0.08954300185627051,-0.11776358693656008,-0.05763059901014935,-0.036863499197369407,-0.05818891238231089,-0.02978913120329759,-0.04877357902619475,-0.06013298792641073
KOSPI,2026-03-03,2026-03-04,20,-0.12824206062260365,-0.09825575510705598,-0.09825575510705598,-0.07853469001563454,-0.010830680747968963,-0.015577996570267618,0.02160302358286304,-0.007140370258149227,0.01252404327326485,-0.02416175706661796,0.039878362441228984,-0.0027589558438706947,-0.019721065091421436,0.004747315822298655,0.02874339384101227,0.03668580033988281,0.04263731828509968
KOSPI,2026-03-04,2026-03-05,20,0.10767386553972876,0.02874208762409266,0.02874208762409266,0.02059086033084288,0.050083314264251964,0.02919617457147432,-0.009932150928301792,-0.006195749195236081,0.064315626214449,0.03127099835728895,0.0880374098111047,0.05142319862477458,0.008151227293249779,0.020887139692777643,-0.003736401733065711,0.03304462785716005,0.03661421118633011
