# 사전 예상(고정): C1 반반 / C2 고점근처 우위 / C3 저변동 약한 우위 — 결과가 달라도 그대로 보고, 튜닝 금지
# C2 52주 고점 근사: 일별 종가(2025-07~) + 그 이전 구간은 월말 종가 12개월 최고 혼합 — 순수 일별 고점 아님
# KOSPI: 베이스 월평균 10.4종목, C1 분할제외(PBR 결측·0이하) 월평균 1.3, C3 분할제외(12개월 창 미완비) 월평균 0.3
# KOSDAQ: 베이스 월평균 8.2종목, C1 분할제외(PBR 결측·0이하) 월평균 0.3, C3 분할제외(12개월 창 미완비) 월평균 0.5
시장,전략,보유,진입월,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,C2_고점근처,6,2020-02,4,0,0.5271943903942486,0.16509719994263003,0.4327453419821843,0.3620971904516186,0.09444904841206436,0.5241943903942486,0.09144904841206436
KOSPI,C2_낙폭,6,2020-02,3,0,-0.16697278670155366,0.16509719994263003,0.327513668356975,-0.3320699866441837,-0.4944864550585286,-0.16997278670155366,-0.4974864550585286
KOSPI,C3_저변동,6,2020-02,2,0,1.0405371826149814,0.16509719994263003,0.3648540018669575,0.8754399826723513,0.6756831807480239,1.0375371826149815,0.672683180748024
KOSPI,C3_고변동,6,2020-02,5,0,-0.09464303275152582,0.16509719994263003,0.46281821630562703,-0.25974023269415586,-0.5574612490571529,-0.09764303275152582,-0.5604612490571529
KOSPI,베이스,1,2020-02,7,0,-0.12312080931313064,-0.11776216944978019,-0.1249036085335891,-0.005358639863350459,0.0017827992204584586,-0.12612080931313063,-0.0012172007795415302
KOSPI,C1_저PBR,1,2020-02,0,0,,-0.11776216944978019,,,,,
KOSPI,C1_고PBR,1,2020-02,6,0,-0.13731583350921536,-0.11776216944978019,-0.13940207032694402,-0.019553664059435177,0.002086236817728654,-0.14031583350921537,-0.0009137631822713488
KOSPI,C2_고점근처,1,2020-02,4,0,-0.1524792131096068,-0.11776216944978019,-0.1414331880157543,-0.03471704365982661,-0.011046025093852496,-0.1554792131096068,-0.014046025093852499
KOSPI,C2_낙폭,1,2020-02,3,0,-0.08397627091782911,-0.11776216944978019,-0.13222882245663875,0.033785898531951075,0.04825255153880964,-0.08697627091782911,0.04525255153880964
KOSPI,C3_저변동,1,2020-02,2,0,-0.1312769193698985,-0.11776216944978019,-0.13837202609743668,-0.013514749920118307,0.007095106727538186,-0.1342769193698985,0.004095106727538184
KOSPI,C3_고변동,1,2020-02,5,0,-0.11985836529042351,-0.11776216944978019,-0.14149006370145886,-0.002096195840643328,0.02163169841103535,-0.12285836529042352,0.018631698411035347
KOSPI,베이스,6,2020-03,1,0,0.06932773109243695,0.3237226790876426,0.45259233439820845,-0.2543949479952056,-0.3832646033057715,0.06632773109243695,-0.3862646033057715
KOSPI,C1_저PBR,6,2020-03,0,0,,0.3237226790876426,,,,,
KOSPI,C1_고PBR,6,2020-03,1,0,0.06932773109243695,0.3237226790876426,0.45259233439820845,-0.2543949479952056,-0.3832646033057715,0.06632773109243695,-0.3862646033057715
KOSPI,C2_고점근처,6,2020-03,0,0,,0.3237226790876426,,,,,
KOSPI,C2_낙폭,6,2020-03,1,0,0.06932773109243695,0.3237226790876426,0.45259233439820845,-0.2543949479952056,-0.3832646033057715,0.06632773109243695,-0.3862646033057715
KOSPI,C3_저변동,6,2020-03,0,0,,0.3237226790876426,,,,,
KOSPI,C3_고변동,6,2020-03,1,0,0.06932773109243695,0.3237226790876426,0.45259233439820845,-0.2543949479952056,-0.3832646033057715,0.06632773109243695,-0.3862646033057715
KOSPI,베이스,1,2020-03,1,0,0.19327731092436973,0.106396100540043,0.19983309626366336,0.08688121038432672,-0.006555785339293629,0.19027731092436972,-0.009555785339293632
KOSPI,C1_저PBR,1,2020-03,0,0,,0.106396100540043,,,,,
KOSPI,C1_고PBR,1,2020-03,1,0,0.19327731092436973,0.106396100540043,0.19983309626366336,0.08688121038432672,-0.006555785339293629,0.19027731092436972,-0.009555785339293632
KOSPI,C2_고점근처,1,2020-03,0,0,,0.106396100540043,,,,,
KOSPI,C2_낙폭,1,2020-03,1,0,0.19327731092436973,0.106396100540043,0.19983309626366336,0.08688121038432672,-0.006555785339293629,0.19027731092436972,-0.009555785339293632
KOSPI,C3_저변동,1,2020-03,0,0,,0.106396100540043,,,,,
KOSPI,C3_고변동,1,2020-03,1,0,0.19327731092436973,0.106396100540043,0.19983309626366336,0.08688121038432672,-0.006555785339293629,0.19027731092436972,-0.009555785339293632
KOSPI,베이스,6,2020-04,5,0,0.10064533605376118,0.16732160837283613,0.2659699101035613,-0.06667627231907496,-0.1653245740498001,0.09764533605376118,-0.1683245740498001
KOSPI,C1_저PBR,6,2020-04,1,0,0.15489467162329618,0.16732160837283613,0.22674481303535063,-0.012426936749539957,-0.07185014141205445,0.15189467162329617,-0.07485014141205446
KOSPI,C1_고PBR,6,2020-04,2,0,-0.10753176043557167,0.16732160837283613,0.3627998862117481,-0.2748533688084078,-0.47033164664731975,-0.11053176043557167,-0.47333164664731975
KOSPI,C2_고점근처,6,2020-04,3,0,0.04213329792100103,0.16732160837283613,0.2797317090370168,-0.1251883104518351,-0.23759841111601573,0.03913329792100103,-0.24059841111601574
