# 사전 예상: E1 지지(평상시 H3보다 악화) / E2 유의미하지 않음 — 달라도 그대로 보고, 튜닝 금지
# E1은 수익이 '낮을수록' 가설 지지 (H3 부호 해석과 동일)
# 사용 사건: 36건 (2016-01 이후), 제외: 1건 — M001 스타벅스 5·18 탱크데이 논란
시장,전략,보유,진입월,사건ID,사건,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,E1,6,2021-09,C04,에버그란데 위기,30,0,-0.017819299230675625,-0.09940736093503634,-0.04921976267063057,0.08158806170436071,0.03140046343995495,-0.020819299230675624,0.028400463439954948
KOSPI,E2,6,2021-09,C04,에버그란데 위기,30,0,-0.17523438250575993,-0.09940736093503634,-0.04921976267063057,-0.07582702157072359,-0.12601461983512935,-0.17823438250575993,-0.12901461983512935
KOSPI,E1,1,2016-06,D04,브렉시트 국민투표,30,0,-0.005555104379084178,0.0238438816610896,0.02442494110018099,-0.02939898604017378,-0.02998004547926517,-0.008555104379084178,-0.03298004547926517
KOSPI,E2,1,2016-06,D04,브렉시트 국민투표,30,0,0.0479805598728426,0.0238438816610896,0.02442494110018099,0.024136678211753002,0.023555618772661612,0.0449805598728426,0.02055561877266161
KOSPI,E1,3,2016-06,D04,브렉시트 국민투표,30,1,-0.006051862678839802,0.03791246546768349,0.03241233853183627,-0.04396432814652329,-0.03846420121067607,-0.009051862678839801,-0.041464201210676066
KOSPI,E2,3,2016-06,D04,브렉시트 국민투표,30,0,0.0947214183114149,0.03791246546768349,0.03241233853183627,0.05680895284373141,0.06230907977957863,0.09172141831141489,0.059309079779578625
KOSPI,E1,6,2016-06,D04,브렉시트 국민투표,30,1,-0.08067762433811723,0.029721371629523638,-0.009248662343782486,-0.11039899596764087,-0.07142896199433474,-0.08367762433811723,-0.07442896199433474
KOSPI,E2,6,2016-06,D04,브렉시트 국민투표,30,0,0.0609701196792658,0.029721371629523638,-0.009248662343782486,0.03124874804974216,0.07021878202304829,0.0579701196792658,0.06721878202304829
KOSPI,E1,1,2018-03,D05,미중 무역전쟁 격화,30,0,0.09641407306864777,0.029017976511042046,0.05839112154034108,0.06739609655760573,0.03802295152830669,0.09341407306864777,0.03502295152830669
KOSPI,E2,1,2018-03,D05,미중 무역전쟁 격화,30,0,0.051177885270681074,0.029017976511042046,0.05839112154034108,0.022159908759639028,-0.0072132362696600075,0.04817788527068107,-0.01021323626966001
KOSPI,E1,3,2018-03,D05,미중 무역전쟁 격화,30,0,-0.03660629497293379,-0.25327778725565275,0.007105120370076918,0.21667149228271898,-0.04371141534301071,-0.03960629497293379,-0.04671141534301071
KOSPI,E2,3,2018-03,D05,미중 무역전쟁 격화,30,0,-0.02537100161952346,-0.25327778725565275,0.007105120370076918,0.2279067856361293,-0.03247612198960038,-0.02837100161952346,-0.03547612198960038
KOSPI,E1,6,2018-03,D05,미중 무역전쟁 격화,30,0,-0.0005289387347430526,-0.25013902016837686,-0.00019573001053621906,0.2496100814336338,-0.00033320872420683354,-0.0035289387347430526,-0.0033332087242068337
KOSPI,E2,6,2018-03,D05,미중 무역전쟁 격화,30,0,-0.009454989064968238,-0.25013902016837686,-0.00019573001053621906,0.2406840311034086,-0.009259259054432019,-0.012454989064968239,-0.01225925905443202
KOSPI,E1,1,2022-01,D06,연준 긴축 쇼크 (2022),30,0,0.05652073401815154,0.01209245993470427,0.04298560416813582,0.04442827408344727,0.013535129850015717,0.053520734018151536,0.010535129850015715
KOSPI,E2,1,2022-01,D06,연준 긴축 쇼크 (2022),30,0,-0.011844155430987036,0.01209245993470427,0.04298560416813582,-0.023936615365691305,-0.054829759599122854,-0.014844155430987035,-0.05782975959912286
KOSPI,E1,3,2022-01,D06,연준 긴축 쇼크 (2022),30,0,0.1650759488649485,0.0037037101607970196,0.12222580371821826,0.1613722387041515,0.042850145146730245,0.1620759488649485,0.03985014514673024
KOSPI,E2,3,2022-01,D06,연준 긴축 쇼크 (2022),30,0,0.02906162262992964,0.0037037101607970196,0.12222580371821826,0.025357912469132618,-0.09316418108828861,0.02606162262992964,-0.09616418108828861
KOSPI,E1,6,2022-01,D06,연준 긴축 쇼크 (2022),30,0,-0.019683344209928417,-0.08536370454940467,-0.01871250404860386,0.06568036033947626,-0.0009708401613245585,-0.022683344209928416,-0.003970840161324558
KOSPI,E2,6,2022-01,D06,연준 긴축 쇼크 (2022),30,0,-0.07992749677283711,-0.08536370454940467,-0.01871250404860386,0.005436207776567559,-0.06121499272423325,-0.08292749677283712,-0.06421499272423326
