# 사전 예상: 월 H2(지속성)와 동형 — 서열은 있되 랜덤 미달 (달라도 그대로 보고)
# 한계: 강도 분모는 유통물량이 아닌 상장주식수 근사
# 한계: 일별 데이터 2025-07~ → 진입 표본 ~10회, 전부 후반 구간 — 기간 분할 무의미
시장,전략,보유,진입월,종목수,만기누락,수익률,시장프록시,랜덤평균,최대진입일수,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSPI,B2,1,2025-11,20,0,0.05205029025686079,0.07550730777192712,0.04475565609187051,10,-0.023457017515066327,0.00729463416499028,0.049050290256860786,0.004294634164990277
KOSPI,B2,3,2025-11,20,0,0.3097017046560796,0.5969636246376133,0.21860215193762322,10,-0.2872619199815337,0.09109955271845638,0.3067017046560796,0.08809955271845638
KOSPI,B1,1,2025-12,20,0,0.10774715337927572,0.24060788057097982,0.06303671580163564,13,-0.1328607271917041,0.04471043757764008,0.10474715337927572,0.04171043757764008
KOSPI,B1,3,2025-12,20,0,0.04182337647820835,0.1997720869035824,0.07290132867999065,13,-0.15794871042537403,-0.031077952201782298,0.03882337647820835,-0.0340779522017823
KOSPI,B2,1,2025-12,20,0,0.10341867482562254,0.24060788057097982,0.06303671580163564,10,-0.13718920574535726,0.040381959023986905,0.10041867482562254,0.0373819590239869
KOSPI,B2,3,2025-12,20,0,0.06121967705905201,0.1997720869035824,0.07290132867999065,10,-0.13855240984453038,-0.011681651620938635,0.05821967705905201,-0.014681651620938638
KOSPI,B1,1,2026-01,20,0,0.09804248866344376,0.19601592597353912,0.09639497418004613,7,-0.09797343731009536,0.0016475144833976302,0.09504248866344375,-0.0013524855166023725
KOSPI,B1,3,2026-01,20,0,0.2562947312356291,0.2563862672210147,0.14780081084989505,7,-9.153598538558239e-05,0.10849392038573408,0.2532947312356291,0.10549392038573407
KOSPI,B2,1,2026-01,20,0,0.0701029315792637,0.19601592597353912,0.09639497418004613,9,-0.12591299439427542,-0.026292042600782425,0.0671029315792637,-0.029292042600782428
KOSPI,B2,3,2026-01,20,0,0.16193509930255268,0.2563862672210147,0.14780081084989505,9,-0.09445116791846203,0.014134288452657628,0.15893509930255267,0.011134288452657626
KOSPI,B1,1,2026-02,20,0,-0.14722621305783332,-0.19134646833263214,-0.08809345108555881,12,0.04412025527479882,-0.0591327619722745,-0.15022621305783332,-0.062132761972274506
KOSPI,B1,3,2026-02,20,0,0.6359148933698362,0.35190779097700436,0.12113874103621215,12,0.28400710239283183,0.5147761523336241,0.6329148933698362,0.5117761523336241
KOSPI,B2,1,2026-02,20,0,-0.09770716684362249,-0.19134646833263214,-0.08809345108555881,12,0.09363930148900965,-0.009613715758063676,-0.10070716684362249,-0.012613715758063679
KOSPI,B2,3,2026-02,20,0,0.48166243382872087,0.35190779097700436,0.12113874103621215,12,0.1297546428517165,0.36052369279250873,0.47866243382872087,0.35752369279250873
KOSPI,B1,1,2026-03,20,0,0.12811722650066104,0.2985457397790371,0.1617921628480433,9,-0.17042851327837605,-0.03367493634738225,0.12511722650066104,-0.03667493634738225
KOSPI,B1,3,2026-03,20,2,-0.07453701585755156,0.6711191162919391,0.12360206071915567,9,-0.7456561321494907,-0.1981390765767072,-0.07753701585755156,-0.2011390765767072
KOSPI,B2,1,2026-03,20,0,0.2429785532280647,0.2985457397790371,0.1617921628480433,9,-0.0555671865509724,0.0811863903800214,0.2399785532280647,0.0781863903800214
KOSPI,B2,3,2026-03,20,1,0.1618686691975468,0.6711191162919391,0.12360206071915567,9,-0.5092504470943923,0.03826660847839114,0.1588686691975468,0.03526660847839114
KOSPI,B1,1,2026-04,20,0,-0.19444339231781577,0.28499497756175507,0.0723448263019839,8,-0.47943836987957084,-0.2667882186197997,-0.19744339231781577,-0.2697882186197997
KOSPI,B1,3,2026-04,20,0,-0.3590924060789559,0.03330567933281154,-0.053020501363455284,8,-0.3923980854117674,-0.3060719047155006,-0.3620924060789559,-0.3090719047155006
KOSPI,B2,1,2026-04,20,0,-0.03955167875289796,0.28499497756175507,0.0723448263019839,10,-0.324546656314653,-0.11189650505488186,-0.04255167875289796,-0.11489650505488186
KOSPI,B2,3,2026-04,20,0,-0.3377894797880733,0.03330567933281154,-0.053020501363455284,10,-0.3710951591208848,-0.284768978424618,-0.3407894797880733,-0.287768978424618
KOSPI,B1,1,2026-05,20,0,-0.13728177398072136,-0.0002943174400478278,-0.07370275765494701,10,-0.13698745654067354,-0.06357901632577435,-0.14028177398072136,-0.06657901632577436
KOSPI,B2,1,2026-05,20,0,-0.18929149816465984,-0.0002943174400478278,-0.07370275765494701,10,-0.18899718072461202,-0.11558874050971284,-0.19229149816465985,-0.11858874050971284
KOSPI,B1,1,2026-06,20,0,-0.09861554252677139,-0.19582051689603724,-0.01412166328875656,10,0.09720497436926585,-0.08449387923801482,-0.1016155425267714,-0.08749387923801483
KOSPI,B2,1,2026-06,20,0,-0.1147271866306208,-0.19582051689603724,-0.01412166328875656,11,0.08109333026541644,-0.10060552334186423,-0.1177271866306208,-0.10360552334186424
KOSDAQ,B1,1,2025-08,20,0,0.18468033705739156,0.061249270195561034,0.03690990848274872,8,0.12343106686183053,0.14777042857464284,0.18168033705739156,0.14477042857464284
KOSDAQ,B1,3,2025-08,20,0,0.46008377669157696,0.14788814609651985,0.05330104568029817,8,0.3121956305950571,0.4067827310112788,0.45708377669157696,0.4037827310112788
KOSDAQ,B2,1,2025-08,20,0,0.09351868202426382,0.061249270195561034,0.03690990848274872,10,0.032269411828702785,0.0566087735415151,0.09051868202426382,0.053608773541515095
KOSDAQ,B2,3,2025-08,20,0,0.212297776737243,0.14788814609651985,0.05330104568029817,10,0.06440963064072316,0.15899673105694484,0.209297776737243,0.15599673105694484
KOSDAQ,B1,1,2025-09,20,0,0.09550496187490795,0.0673148058270327,0.011279548151357293,8,0.028190156047875253,0.08422541372355066,0.09250496187490795,0.08122541372355066
KOSDAQ,B1,3,2025-09,20,0,0.12631074194363123,0.09416178377316385,0.05458572395116377,8,0.03214895817046738,0.07172501799246747,0.12331074194363123,0.06872501799246747
KOSDAQ,B2,1,2025-09,20,0,0.1071498956677676,0.0673148058270327,0.011279548151357293,8,0.0398350898407349,0.09587034751641031,0.1041498956677676,0.09287034751641031
KOSDAQ,B2,3,2025-09,20,0,0.16654687734039478,0.09416178377316385,0.05458572395116377,8,0.07238509356723093,0.11196115338923102,0.16354687734039478,0.10896115338923101
KOSDAQ,B1,1,2025-10,20,0,-0.0031054741209438907,0.013564013283707882,-0.01429181024239109,8,-0.016669487404651774,0.0111863361214472,-0.006105474120943891,0.008186336121447198
KOSDAQ,B1,3,2025-10,20,0,0.2693691718326026,0.2800729563582167,0.13406366114358625,8,-0.010703784525614102,0.13530551068901636,0.2663691718326026,0.13230551068901636
KOSDAQ,B2,1,2025-10,20,0,-0.05164079041421258,0.013564013283707882,-0.01429181024239109,8,-0.06520480369792046,-0.03734898017182149,-0.05464079041421258,-0.040348980171821494
KOSDAQ,B2,3,2025-10,20,0,0.2892784067257195,0.2800729563582167,0.13406366114358625,8,0.009205450367502754,0.15521474558213322,0.28627840672571947,0.15221474558213322
KOSDAQ,B1,1,2025-11,20,1,0.08695688522561244,0.010189295706383049,0.02781565186846681,9,0.07676758951922939,0.059141233357145634,0.08395688522561244,0.05614123335714563
