# 사전 예상: H1 약한 지지 / H2 반반 / H3 지지 (결과가 달라도 그대로 보고 — 튜닝 금지)
# H1 레짐 발생: KOSPI 26회, KOSDAQ 26회
시장,전략,보유,진입월,종목수,만기누락,수익률,시장프록시,랜덤평균,초과_시장,초과_랜덤,수익률_비용후,초과_랜덤_비용후
KOSDAQ,H2ii,6,2022-01,3,0,-0.28745527725308884,-0.09028868232941789,-0.028501304783518443,-0.19716659492367095,-0.2589539724695704,-0.29045527725308884,-0.2619539724695704
KOSDAQ,H3,6,2022-01,20,0,0.039232164907922036,-0.09028868232941789,-0.041585981573980246,0.12952084723733992,0.08081814648190228,0.03623216490792203,0.07781814648190227
KOSDAQ,H2i,1,2022-02,20,0,0.04407077614112473,0.07322932569805156,0.10801554104298776,-0.02915854955692683,-0.06394476490186303,0.041070776141124726,-0.06694476490186303
KOSDAQ,H2ii,1,2022-02,4,0,0.08826065056442267,0.07322932569805156,0.09625518820735669,0.015031324866371112,-0.007994537642934021,0.08526065056442267,-0.010994537642934024
KOSDAQ,H3,1,2022-02,20,0,0.06294425151646528,0.07322932569805156,0.10801554104298776,-0.010285074181586279,-0.04507128952652248,0.05994425151646528,-0.04807128952652248
KOSDAQ,H2i,3,2022-02,20,0,0.05482816270995022,0.029261727566716106,0.06820487847937441,0.025566435143234117,-0.013376715769424188,0.05182816270995022,-0.01637671576942419
KOSDAQ,H2ii,3,2022-02,4,0,-0.07021495149052093,0.029261727566716106,0.0988943855324221,-0.09947667905723703,-0.169109337022943,-0.07321495149052093,-0.172109337022943
KOSDAQ,H3,3,2022-02,20,0,-0.07072150774248233,0.029261727566716106,0.06820487847937441,-0.09998323530919843,-0.13892638622185674,-0.07372150774248233,-0.14192638622185674
KOSDAQ,H1,6,2022-02,0,0,,-0.10093398115662644,,,,,
KOSDAQ,H2i,6,2022-02,20,0,-0.03820193928906239,-0.10093398115662644,-0.04864662236808972,0.06273204186756405,0.01044468307902733,-0.04120193928906239,0.007444683079027327
KOSDAQ,H2ii,6,2022-02,4,0,-0.15943524469317852,-0.10093398115662644,-0.009190101069670017,-0.05850126353655208,-0.1502451436235085,-0.16243524469317852,-0.1532451436235085
KOSDAQ,H3,6,2022-02,20,0,-0.21424632661385398,-0.10093398115662644,-0.04864662236808972,-0.11331234545722754,-0.16559970424576426,-0.21724632661385399,-0.16859970424576426
KOSDAQ,H2i,1,2022-03,20,0,-0.01999631777215659,-0.04253264532928216,-0.008894626019980511,0.022536327557125566,-0.01110169175217608,-0.02299631777215659,-0.01410169175217608
KOSDAQ,H2ii,1,2022-03,6,0,-0.03923831645556316,-0.04253264532928216,-0.013108039639738929,0.003294328873718999,-0.02613027681582423,-0.04223831645556316,-0.02913027681582423
KOSDAQ,H3,1,2022-03,20,0,-0.016666665636899374,-0.04253264532928216,-0.008894626019980511,0.025865979692382784,-0.007772039616918863,-0.019666665636899373,-0.010772039616918862
KOSDAQ,H2i,3,2022-03,20,0,-0.18814495814946575,-0.22563151568189269,-0.1863866946238547,0.03748655753242694,-0.0017582635256110368,-0.19114495814946575,-0.0047582635256110395
KOSDAQ,H2ii,3,2022-03,6,0,-0.26580648999584716,-0.22563151568189269,-0.1850501435809806,-0.040174974313954476,-0.08075634641486656,-0.26880648999584716,-0.08375634641486657
KOSDAQ,H3,3,2022-03,20,0,-0.16924356676695532,-0.22563151568189269,-0.1863866946238547,0.05638794891493737,0.017143127856899393,-0.17224356676695532,0.01414312785689939
KOSDAQ,H1,6,2022-03,0,0,,-0.3009439952441283,,,,,
KOSDAQ,H2i,6,2022-03,20,0,-0.2410200632976692,-0.3009439952441283,-0.2266954816859292,0.05992393194645909,-0.014324581611739995,-0.2440200632976692,-0.017324581611739998
KOSDAQ,H2ii,6,2022-03,6,0,-0.2072658862003364,-0.3009439952441283,-0.24113012931323843,0.0936781090437919,0.03386424311290204,-0.2102658862003364,0.030864243112902034
KOSDAQ,H3,6,2022-03,20,0,0.018528433684380785,-0.3009439952441283,-0.2266954816859292,0.3194724289285091,0.24522391537031,0.015528433684380786,0.24222391537031
KOSDAQ,H2i,1,2022-04,20,0,0.023588465366737525,0.0004933277880255195,-0.014620596539367285,0.023095137578712007,0.03820906190610481,0.020588465366737526,0.03520906190610481
KOSDAQ,H2ii,1,2022-04,4,0,-0.05587891007591722,0.0004933277880255195,-0.006462699185301283,-0.05637223786394274,-0.04941621089061594,-0.058878910075917223,-0.05241621089061594
KOSDAQ,H3,1,2022-04,20,0,-0.07126865654144365,0.0004933277880255195,-0.014620596539367285,-0.07176198432946918,-0.05664806000207637,-0.07426865654144366,-0.05964806000207637
KOSDAQ,H2i,3,2022-04,20,0,-0.12200300348281683,-0.12565610915248254,-0.1022673958537767,0.0036531056696657155,-0.019735607629040128,-0.12500300348281682,-0.022735607629040117
KOSDAQ,H2ii,3,2022-04,4,0,-0.2631230984857532,-0.12565610915248254,-0.12453878186009418,-0.13746698933327067,-0.13858431662565904,-0.2661230984857532,-0.14158431662565904
KOSDAQ,H3,3,2022-04,20,0,-0.1947617265148594,-0.12565610915248254,-0.1022673958537767,-0.06910561736237686,-0.0924943306610827,-0.1977617265148594,-0.0954943306610827
KOSDAQ,H1,6,2022-04,0,0,,-0.2511054862639302,,,,,
