# 사전 예상(고정): 동행 상관 양(+) 치우침 / 선행 상관 0 중심 — A 검증(갭 선취)과 정합해야 함. 전략화 금지, 기술 통계 전용
시장,코드,n주,r_동행,r_선행1,r_선행2,r_선행4,수급동행
KOSPI,002760,52,-0.282,0.072,0.059,0.293,하
KOSPI,002780,52,-0.557,0.143,0.266,0.214,하
KOSPI,002785,0,,,,,
KOSPI,002787,43,-0.393,-0.351,0.155,-0.195,하
KOSPI,002790,52,0.312,0.13,0.112,-0.097,상
KOSPI,002795,52,0.505,0.034,-0.147,-0.239,상
KOSPI,00279K,52,0.159,0.016,-0.052,-0.125,중
KOSPI,002810,52,0.491,-0.125,-0.109,-0.083,상
KOSPI,002820,52,0.315,-0.283,-0.125,-0.051,상
KOSPI,002840,52,0.438,-0.009,-0.007,-0.08,상
KOSPI,002870,52,0.333,-0.167,-0.21,0.089,상
KOSPI,002880,52,0.694,-0.395,0.32,-0.179,상
KOSPI,002900,52,0.631,0.067,-0.014,-0.108,상
KOSPI,002920,52,0.312,0.162,-0.018,0.079,상
KOSPI,002960,52,0.194,0.285,0.357,-0.077,중
KOSPI,002990,52,0.169,0.054,0.015,-0.026,중
KOSPI,002995,31,-0.142,-0.025,-0.092,-0.08,
KOSPI,003000,52,0.009,-0.208,-0.153,-0.48,중
KOSPI,003010,52,-0.37,0.148,-0.036,0.191,하
KOSPI,003030,52,-0.307,0.041,-0.184,-0.078,하
KOSPI,003060,49,-0.276,0.16,0.338,0.577,하
KOSPI,003070,52,0.42,0.011,0.188,0.029,상
KOSPI,003075,17,-0.025,0.229,0.037,0.094,
KOSPI,003080,52,0.247,0.115,-0.251,0.0,중
KOSPI,003090,52,0.25,0.256,-0.082,-0.073,중
KOSPI,0030R0,52,0.645,-0.276,-0.265,0.032,상
KOSPI,003120,52,-0.176,0.294,-0.216,0.241,하
KOSPI,003160,52,0.141,0.09,-0.074,-0.047,중
KOSPI,003200,52,-0.073,0.123,-0.083,0.058,하
KOSPI,003220,52,0.163,-0.069,0.193,-0.042,중
KOSPI,003230,52,-0.144,0.088,-0.265,-0.079,하
KOSPI,003240,52,-0.238,-0.169,-0.064,0.209,하
KOSPI,003280,52,-0.135,-0.028,0.098,-0.134,하
KOSPI,003300,52,0.216,0.336,-0.232,-0.069,중
KOSPI,003350,51,0.28,-0.043,-0.157,-0.012,중
KOSPI,003460,52,-0.205,0.235,0.153,-0.156,하
KOSPI,003465,39,-0.063,-0.174,-0.138,0.055,
KOSPI,003470,52,-0.241,0.065,0.229,-0.172,하
